DOI,new_feature_1mag_first_auth,new_feature_2mag_first_auth,new_feature_3mag_first_auth,new_feature_4mag_first_auth,new_feature_5mag_first_auth,new_feature_6mag_first_auth,new_feature_7mag_first_auth,new_feature_8mag_first_auth,new_feature_9mag_first_auth,new_feature_10mag_first_auth,new_feature_11mag_first_auth,new_feature_12mag_first_auth,new_feature_13mag_first_auth,new_feature_14mag_first_auth,new_feature_15mag_first_auth,new_feature_16mag_first_auth,new_feature_17mag_first_auth,new_feature_18mag_first_auth,new_feature_19mag_first_auth,new_feature_20mag_first_auth,new_feature_21mag_first_auth,new_feature_22mag_first_auth,new_feature_23mag_first_auth,new_feature_24mag_first_auth,new_feature_25mag_first_auth,new_feature_26mag_first_auth,new_feature_27mag_first_auth,new_feature_28mag_first_auth,new_feature_29mag_first_auth,new_feature_30mag_first_auth,new_feature_31mag_first_auth,new_feature_32mag_first_auth,new_feature_33mag_first_auth,new_feature_34mag_first_auth,new_feature_35mag_first_auth,new_feature_36mag_first_auth,new_feature_37mag_first_auth,new_feature_38mag_first_auth,new_feature_39mag_first_auth,new_feature_40mag_first_auth,new_feature_41mag_first_auth,new_feature_42mag_first_auth,new_feature_43mag_first_auth,new_feature_44mag_first_auth,new_feature_45mag_first_auth,new_feature_46mag_first_auth,new_feature_47mag_first_auth,new_feature_48mag_first_auth,new_feature_49mag_first_auth,new_feature_50mag_first_auth,new_feature_51mag_first_auth,new_feature_52mag_first_auth,new_feature_53mag_first_auth,new_feature_54mag_first_auth,new_feature_55mag_first_auth,new_feature_56mag_first_auth,new_feature_57mag_first_auth,new_feature_58mag_first_auth,new_feature_59mag_first_auth,new_feature_60mag_first_auth,new_feature_61mag_first_auth,new_feature_62mag_first_auth,new_feature_63mag_first_auth,new_feature_64mag_first_auth,new_feature_65mag_first_auth,new_feature_66mag_first_auth,new_feature_67mag_first_auth,new_feature_68mag_first_auth,new_feature_69mag_first_auth,new_feature_70mag_first_auth,new_feature_71mag_first_auth,new_feature_72mag_first_auth,new_feature_73mag_first_auth,new_feature_74mag_first_auth,new_feature_75mag_first_auth,new_feature_76mag_first_auth,new_feature_77mag_first_auth,new_feature_78mag_first_auth,new_feature_79mag_first_auth,new_feature_80mag_first_auth,new_feature_81mag_first_auth,new_feature_82mag_first_auth,new_feature_83mag_first_auth,new_feature_84mag_first_auth,new_feature_85mag_first_auth,new_feature_86mag_first_auth,new_feature_87mag_first_auth,new_feature_88mag_first_auth,new_feature_89mag_first_auth,new_feature_90mag_first_auth,new_feature_91mag_first_auth,new_feature_92mag_first_auth,new_feature_93mag_first_auth,new_feature_94mag_first_auth,new_feature_95mag_first_auth,new_feature_96mag_first_auth,new_feature_97mag_first_auth,new_feature_98mag_first_auth,new_feature_99mag_first_auth,new_feature_100mag_first_auth,new_feature_101mag_first_auth,new_feature_102mag_first_auth,new_feature_103mag_first_auth,new_feature_104mag_first_auth,new_feature_105mag_first_auth,new_feature_106mag_first_auth,new_feature_107mag_first_auth,new_feature_108mag_first_auth,new_feature_109mag_first_auth,new_feature_110mag_first_auth,new_feature_111mag_first_auth,new_feature_112mag_first_auth,new_feature_113mag_first_auth,new_feature_114mag_first_auth,new_feature_115mag_first_auth,new_feature_116mag_first_auth,new_feature_117mag_first_auth,new_feature_118mag_first_auth,new_feature_119mag_first_auth,new_feature_120mag_first_auth,new_feature_121mag_first_auth,new_feature_122mag_first_auth,new_feature_123mag_first_auth,new_feature_124mag_first_auth,new_feature_125mag_first_auth,new_feature_126mag_first_auth,new_feature_127mag_first_auth,new_feature_128mag_first_auth,new_feature_129mag_first_auth,new_feature_130mag_first_auth,new_feature_131mag_first_auth,new_feature_132mag_first_auth,new_feature_133mag_first_auth,new_feature_134mag_first_auth,new_feature_135mag_first_auth,label,Fold_Id
10.1111/j.1467-8624.2012.01818.x,0.59176975,0.20582984,-0.7201093000000001,-0.21197714,0.6391842,-0.06983257,0.062746204,-0.029754547000000006,0.0017139401,-0.2946613,0.0763173,-0.34358153,-0.1641639,0.03892986,0.3253783,-0.027362349,-0.10158518,-0.011568597,-0.1635367,-0.24643694,0.15402564,0.44556138,0.45281622,-0.098373175,0.12328605,0.15581091,0.18697394,0.045308985,0.22076023,-0.49106124,-0.15165572,0.23497438,0.07089924,0.24286078,0.25806367,0.05758521,-0.21010032,0.008356604,0.06169162,0.30638063,-0.6287451999999999,-0.23989807,-0.36462584,0.26481158,-0.05087733,0.29851878,-0.53152883,0.10242346,-0.10530332,0.040933028,0.28015727,0.06427174,-0.29484668,-0.08296027,-0.21140362,0.08124930000000001,-0.12536883,-0.111920014,-0.011070927,-0.20820706,0.11344831,0.17413601,-0.6728925,-0.025816182000000003,-0.052640144000000014,0.15388256,0.20004511,0.105035625,-0.070224635,0.27074724,-0.07401827,-0.2560741,-0.23334244,0.32481170000000004,0.6903979,-0.3525328,0.3770841,0.045288183,-0.21271779,0.52610517,-0.06348978,0.0066119833,-0.18253292,-0.007078086500000001,0.40109795,-0.11054606,0.008171576,0.39241856,0.3741469,0.35461622,0.18197104,-0.2281342,-0.47911417,-0.19344671,-0.35192126,-0.14927791,0.09575134,-0.4943358,0.27259636,-0.025074942000000003,0.6914715,-0.45741543,-0.07712541,-0.06686876,-0.22768804,-0.11860676,0.0730539,-0.5675946,-0.1056466,0.17696287,0.080005564,0.45398277,0.39112422,-0.02408278,-0.08228512,0.3220654000000001,-0.3247022,0.4352821,0.51626074,0.22273955,-0.12534624,-0.20874965,-0.026144367,0.2124747,0.033998374,0.34615785,0.17710102,0.15307014,0.41255143,-0.012069796,-0.019974122,0.58245444,0.21501848,0.34000748,0.20191649,0.0,5.0
10.1016/j.leaqua.2011.10.001,-0.02171323,0.33704817,-0.6362085,-0.525357,0.47254878,0.027626172,0.19527571,-0.010180676,-0.18512335,0.49669474,0.09469318,0.0026050506,0.34843087,0.03240635,-0.30022803,0.81067675,0.045694888,-0.14031763,-0.111187354,-0.40448013,-0.14779389999999998,0.049089648,0.24948141,-0.08856493,0.25980818,0.06770489,0.08301076,0.014204136,0.20523685,-0.06928805,-0.16349943,0.1706862,-0.34836656,-0.056479134,0.5749058000000001,0.016087245,-0.05262185,-0.010843609,-0.25245684,0.045966033,0.14979827,-0.17374612,-0.4317251,0.23545487,-0.11648821,-0.4516435,-0.21928520000000004,-0.13555324,0.10047328,0.21184188,-0.465841,0.051448576,-0.036991306,0.3650044,-0.059030447,-0.04320478,0.29577547,-0.4243122,0.19946368,-0.15990418,0.45919517,-0.08945805,-0.1841466,0.21504901,0.22953378,0.12920693,0.66697043,0.1354636,0.023868745,-0.24454159,-0.12187688,-0.42340416,0.23594078,0.41748247,0.67400324,0.09148878,0.28801367,0.10262888,-0.52984965,0.44570377,-0.12393068,-0.13471839,0.30262026,0.16809368,-0.21478754,-0.103710234,0.034325738,0.2698893,-0.49008143,0.09610356,-0.036735915,-0.30783433,-0.43205428,-0.7403293000000001,-0.13288227,-0.16185714,0.047613338,-0.14603837,-0.14785168,-0.101404116,-0.069526844,0.21339972,0.059410192,0.53538823,0.17233749,-0.10248195,-0.13406281,-0.38751653,0.054825455,-0.15796594,-0.0020436281,-0.07006754,-0.101356156,-0.2016764,0.05542309,0.17031036,-0.448087,0.299827,0.5114681,0.23881668,-0.08076219,-0.42447314,0.18172683,0.69232374,-0.1253238,0.21509863,0.31123540000000005,-0.31654352,0.38569748,-0.11514672,-0.21235779,0.5088564,0.33839333,-0.30561882,-0.5149585,0.0,1.0
10.1016/j.leaqua.2015.02.009,-0.02171323,0.33704817,-0.6362085,-0.525357,0.47254878,0.027626172,0.19527571,-0.010180676,-0.18512335,0.49669474,0.09469318,0.0026050506,0.34843087,0.03240635,-0.30022803,0.81067675,0.045694888,-0.14031763,-0.111187354,-0.40448013,-0.14779389999999998,0.049089648,0.24948141,-0.08856493,0.25980818,0.06770489,0.08301076,0.014204136,0.20523685,-0.06928805,-0.16349943,0.1706862,-0.34836656,-0.056479134,0.5749058000000001,0.016087245,-0.05262185,-0.010843609,-0.25245684,0.045966033,0.14979827,-0.17374612,-0.4317251,0.23545487,-0.11648821,-0.4516435,-0.21928520000000004,-0.13555324,0.10047328,0.21184188,-0.465841,0.051448576,-0.036991306,0.3650044,-0.059030447,-0.04320478,0.29577547,-0.4243122,0.19946368,-0.15990418,0.45919517,-0.08945805,-0.1841466,0.21504901,0.22953378,0.12920693,0.66697043,0.1354636,0.023868745,-0.24454159,-0.12187688,-0.42340416,0.23594078,0.41748247,0.67400324,0.09148878,0.28801367,0.10262888,-0.52984965,0.44570377,-0.12393068,-0.13471839,0.30262026,0.16809368,-0.21478754,-0.103710234,0.034325738,0.2698893,-0.49008143,0.09610356,-0.036735915,-0.30783433,-0.43205428,-0.7403293000000001,-0.13288227,-0.16185714,0.047613338,-0.14603837,-0.14785168,-0.101404116,-0.069526844,0.21339972,0.059410192,0.53538823,0.17233749,-0.10248195,-0.13406281,-0.38751653,0.054825455,-0.15796594,-0.0020436281,-0.07006754,-0.101356156,-0.2016764,0.05542309,0.17031036,-0.448087,0.299827,0.5114681,0.23881668,-0.08076219,-0.42447314,0.18172683,0.69232374,-0.1253238,0.21509863,0.31123540000000005,-0.31654352,0.38569748,-0.11514672,-0.21235779,0.5088564,0.33839333,-0.30561882,-0.5149585,0.0,1.0
10.1111/j.1540-6210.2012.02609.x,-0.40184432,-0.13283366,0.029115846,-0.011658606,0.27242956,-0.3220746,0.6817055999999999,0.113816984,-0.15918782,0.19124043,0.16671456,0.21321231,-0.12393864,0.29408592,-0.22425868,0.3396962,0.13691603,-0.032166198,0.7423396,0.14773275,-0.015726166,0.33847988,-0.1843073,-0.32614946,-0.016757604,-0.12861559,0.16999172,0.12622078,-0.30982116,-0.39378142,-0.34665084,0.26768488,0.08311399,-0.12939921,0.13464972,0.18647115,0.7289194999999999,0.10942956,-0.3060006,0.12391515,0.34382640000000003,-0.06337251,-0.09432887,0.10954883,-0.16457847,-0.29145208,0.24203487,-0.31528312,0.14658263,-0.52925545,0.31622943,-0.030556701,0.16860682,-0.5272458000000001,-0.21592745,0.6932291,0.04340879,0.08989481,-0.48447508,-0.35276532,-0.30449888,-0.14482498,-0.43850082,-0.48088825,-0.035804156000000004,-0.5460819,0.48612583,0.14051563,-0.09981749,-0.04755734,0.06252787,-0.8400287000000001,0.6137749,-0.3788034,-0.020596676,-0.04148811,-0.7140105,-0.0026327102,-0.10561868,0.09046722,-0.006666394399999999,-0.14679272,-0.39462316,0.29743406,0.39277777,0.13094905,-0.1826616,0.55415976,-0.07411468,0.64360875,0.21066856,-0.55858034,-0.03598676,-0.09549857,0.27832395,0.12117242,0.5205967,0.46069476,0.19568236,-0.2462091,0.31520697,-0.011321647,-0.45012268,0.70672244,0.66146415,0.16264062,0.059130173,-0.049250405,0.44139186,-0.5179301,-0.15106198,-0.008508088,-0.23304309,1.0180391,0.23916154,-0.4151099,-0.26287025,-0.27684245,0.418589,0.44887874,-0.13004138,-0.21410932,-0.15812595,0.29133096,0.4875016,0.20038491,-0.27332854,0.5893871,0.76161677,-0.45717016,-0.011421987,-0.44472227,-0.03678036,0.13579369,-0.23863141,0.0,2.0
10.1111/puar.12310,0.022174878,0.3979643,-0.39775047,0.31205153,1.2806722,-0.1665956,0.14335637,-0.08075736,0.014488903,0.17622627,-0.12587923,0.0036522872,-0.04480525,0.20895366,0.06113533,0.26633796,-0.4171635,-0.35659105,-0.04826487,0.31676623,-0.22279102,0.05274987,0.22963518,0.07034063,0.23492824,-0.5776804,0.2334148,0.13901941,-0.63677466,-0.104796566,0.15533297,0.25379184,0.4568867,-0.058268894,0.46745977,0.013321462,-0.0700808,-0.24935685,-0.0409828,-0.24813998,-0.26640218,0.34121844,0.100084506,0.10401781,-0.42692518,0.15463331,-0.25953472,-0.4941513,0.34536597,-0.044989537,-0.28783143,-0.35794994,-0.34012175,0.27428046,-0.06800880000000001,-0.07978889,0.28298932,-0.003220863,-0.06152958400000001,0.028224008,-0.24401736,0.18041602,0.08860122,0.096961215,0.17515585,-0.1769593,0.5502344,0.23508725,-0.26237473,0.26426765,-0.23638994,-0.24306954,-0.3094208,0.2277427,0.55946195,0.07641905,-0.003922253400000001,0.10399914,-0.37814042,-0.029826796000000006,0.22560382,-0.30247587,0.12906958,-0.07887076,-0.31251824,-0.11011663,0.25189552,0.15315372,0.005751735,0.09325701,0.5624665,-0.15289564,-0.87478596,-0.38854468,-0.26490638,0.32376426,0.28625506,-0.3976565,0.46530095,-0.26410326,0.69248015,-0.23504718,0.0606788,0.31940353,-0.11187422,0.019137431,-0.21002832,-0.40790686,0.007619017,-0.33280194,0.21267828,0.41013587,0.043466035,-0.13491489,-0.5484190999999999,0.124589175,-0.36714253,-0.24491791,-0.16091916,0.42967176,-0.42350668,-0.07477175,0.009721468,-0.11409337,0.5975598000000001,0.36255595,0.047269615999999993,0.0021393327,0.030002104,0.16651711,-0.16348842,0.28644612,0.13966353,-0.18757594,-0.1866508,0.0,9.0
10.1093/jopart/mur007,0.022174878,0.3979643,-0.39775047,0.31205153,1.2806722,-0.1665956,0.14335637,-0.08075736,0.014488903,0.17622627,-0.12587923,0.0036522872,-0.04480525,0.20895366,0.06113533,0.26633796,-0.4171635,-0.35659105,-0.04826487,0.31676623,-0.22279102,0.05274987,0.22963518,0.07034063,0.23492824,-0.5776804,0.2334148,0.13901941,-0.63677466,-0.104796566,0.15533297,0.25379184,0.4568867,-0.058268894,0.46745977,0.013321462,-0.0700808,-0.24935685,-0.0409828,-0.24813998,-0.26640218,0.34121844,0.100084506,0.10401781,-0.42692518,0.15463331,-0.25953472,-0.4941513,0.34536597,-0.044989537,-0.28783143,-0.35794994,-0.34012175,0.27428046,-0.06800880000000001,-0.07978889,0.28298932,-0.003220863,-0.06152958400000001,0.028224008,-0.24401736,0.18041602,0.08860122,0.096961215,0.17515585,-0.1769593,0.5502344,0.23508725,-0.26237473,0.26426765,-0.23638994,-0.24306954,-0.3094208,0.2277427,0.55946195,0.07641905,-0.003922253400000001,0.10399914,-0.37814042,-0.029826796000000006,0.22560382,-0.30247587,0.12906958,-0.07887076,-0.31251824,-0.11011663,0.25189552,0.15315372,0.005751735,0.09325701,0.5624665,-0.15289564,-0.87478596,-0.38854468,-0.26490638,0.32376426,0.28625506,-0.3976565,0.46530095,-0.26410326,0.69248015,-0.23504718,0.0606788,0.31940353,-0.11187422,0.019137431,-0.21002832,-0.40790686,0.007619017,-0.33280194,0.21267828,0.41013587,0.043466035,-0.13491489,-0.5484190999999999,0.124589175,-0.36714253,-0.24491791,-0.16091916,0.42967176,-0.42350668,-0.07477175,0.009721468,-0.11409337,0.5975598000000001,0.36255595,0.047269615999999993,0.0021393327,0.030002104,0.16651711,-0.16348842,0.28644612,0.13966353,-0.18757594,-0.1866508,0.0,9.0
10.1016/j.leaqua.2013.07.002,-0.28222758,-0.37468228,-0.40212366,0.3598575,0.28293738,0.91614634,0.4641561,-0.4523854000000001,0.5719916,0.09158178,0.37388188,0.01863061,-0.23927799,0.40043807,0.39116776,0.081821956,0.28872862,0.1781034,0.39937744,-0.35873982,-0.26159770000000004,0.010806702,0.17475852,-0.30083227,0.4078884,-0.49862593,0.38975617,-0.22248647,0.18921773,-0.25640717,-0.5765183,0.2147076,0.26313868,0.9340138,-0.34059352,0.2283151,0.44427636,0.23722444,-0.22677109,0.26210454,0.07455475,0.084897205,0.06313502,-0.15211423,-0.2709487,0.14418346,0.20332055,-0.74463415,0.31504455,0.004771292700000001,0.3387775,0.24896413,-0.35734594,-0.31018090000000004,-0.15861163,0.064891525,0.39702842,0.37329918,-0.72308004,-0.087853946,-0.11291022,0.018878017,-0.0501905,0.075582564,-0.16681917,-0.14455605,0.43541402,-0.2714342,-0.10884251,0.37166294,0.5061587000000001,-0.38745803,0.8241798,0.38225585,0.5271553000000001,-0.3059223,-0.5922437,0.11469632,-0.07812013,0.65381825,-0.13150233,0.20836642,0.09734572,-0.046281427,0.35112384,0.8715643,0.32363662,0.21406132,0.18152048,0.5221538,-0.36738637,-0.080877475,0.23965777,0.23942001,-0.14214404,0.16129647,0.2471063,0.24951683,0.014733789,-0.40631592,-0.009137545,0.5768631999999999,-0.24459542,0.10089996,0.4817078,0.008617924,0.43968993,0.20683545,0.16078012,-0.164642,-0.46877176,0.034843452000000004,-0.29746634,0.72942847,-0.09803842,0.45813692,-0.5944441999999999,-0.012072262,0.62717736,0.4097895,-0.17426088,-0.41861072,0.15379888,0.5374850999999999,-0.26242784,-0.47206223,0.113006316,0.7560679,0.26334137,-0.04901469,0.055537198,-0.21740215,-0.15341938,0.49936426,0.1883278,0.0,1.0
10.1016/j.leaqua.2017.03.004,0.005909124,0.38560236,-0.41472405,0.36966863,1.5029305,-0.18899605,0.2315189,-0.12025171,-0.08455876,0.28120166,-0.14856607,0.020467214,-0.09507191,0.17917353,0.067407146,0.33541864,-0.41927075,-0.3917072,-0.1072961,0.3705861,-0.2474654,0.05143396,0.28246117,0.086863734,0.31490308,-0.62183183,0.37022915,0.2591853,-0.8055687,-0.085312195,0.24472132,0.27787915,0.4118956,0.014972806000000003,0.53545994,-0.011137451,-0.046906374,-0.29025704,-0.021694222000000003,-0.16383411,-0.28672642,0.26958388,0.1416079,0.14433147,-0.4137275,0.18284518,-0.26465195,-0.6212909000000001,0.50522727,-0.013920769,-0.31401354,-0.32373834,-0.29463995,0.33596763,-0.062024213,-0.12601615,0.27447805,0.03344973,-0.19305934,-0.051919278,-0.17909761,0.23500173,0.046505157000000005,0.07953063,0.1720401,-0.22614235,0.6724728,0.29158017,-0.23669985,0.36562228,-0.34696722,-0.21246313,-0.32165366,0.315739,0.59616965,0.11280466,0.009503804,0.16227183,-0.26543203,-0.035972368,0.09040458,-0.41309172,0.13126752,-0.2054045,-0.2982308,-0.0737121,0.17931728,0.12510833,0.003446505,0.109454155,0.628373,-0.15968432,-0.9655887,-0.36281058,-0.25835386,0.43423334,0.32020196,-0.42321077,0.41938782,-0.37673315,0.77401567,-0.28181300000000004,0.12261868,0.3608815,-0.14923209,0.04291297,-0.25279903,-0.427179,0.15278485,-0.3205631,0.33077255,0.5273143,-0.05558375,-0.16208670000000006,-0.6721746,0.037201647,-0.42308977,-0.21065336,-0.26732802,0.47594652,-0.5545358,-0.038325787,-0.091323525,-0.20489292,0.71365607,0.4663476,-0.025813622,-0.008571255,0.17227799,0.23111734,-0.14144833,0.29255474,0.20749345,-0.23817587,-0.24496932,0.0,5.0
10.1016/j.jesp.2016.01.014,-0.1598191,0.03444183,-0.012629367,0.33026120000000003,0.24719274,-0.054918032,0.17963974,-0.049381766,-0.1648945,0.23213756,0.2618679,0.008646211,0.08808899,0.03848465,0.51916534,0.076772355,-0.27378368,-0.27465424,0.4590467,-0.6004307,-0.055493273,0.26041287,0.29659137,-0.27557984,0.3208538,-0.33760977,0.22331971,-0.38070434,0.15742527,-0.60487765,-0.1905925,-0.17909567,0.42965877,0.10030434,0.3819873,0.12891787,-0.06190422,-0.224554,-0.5566585999999999,-0.3161518,-0.58686715,-0.4473813,-0.12210336,0.4123555,0.03110069,-0.28422517,-0.0034462620000000003,-0.04849214,0.07486809,0.07370001,-0.1377296,-0.14461653,0.50240016,-0.19772491,-0.0939912,-0.0054154284,0.3220801,0.08110719,0.4404656,0.29165947,0.10244913,0.16373922,-0.5088782000000001,-0.0007496864999999999,0.021000726,-0.09557847,0.39389247,-0.23280773,0.042300705,-0.4742156,0.08584807,-0.35283715,-0.18301253,-0.28898668,1.0579376,0.18884449,0.40340734,0.2165178,0.24590923,0.3742655,0.02089845,-0.5112126,-0.37647322,-0.06408223,0.08815346,0.15877746,-0.15893027,-0.043576185,0.4165372000000001,0.31866506,0.043959077,0.02582741,-0.55176365,-0.5773951999999999,0.22710924,-0.041922286,-0.00041741508,-0.17913565,0.47751883,0.25990814,0.23229778,0.16371505,-0.23498489,0.90800786,-0.38530645,-0.08628243,0.20808445,0.06513589,-0.34379613,0.034850337,0.17772774,-0.05771731,-0.35116935,0.031765807,0.37516263,0.49915335,-0.4043258,0.041920472,0.38714293,-0.52662396,-0.15289654,-0.09406725,0.16730987,0.09075705,0.20527096,0.409501,0.10716355,0.21300922,0.179752,0.20697014,0.17464457,0.7098746,-0.32023528,0.16679367,-0.4294482,0.0,3.0
10.1257/app.2.4.128,-0.19713989,0.35970652,-0.3251398,-0.092651516,0.3947339,-0.4812684,0.53871715,0.19497432,0.22797483,-0.22343983,0.15497257,-0.27021334,0.41425183,-0.018863738,-0.3059784,0.59518886,-0.023985878,0.08383106,-0.13754655,-0.37538347,0.2795466,-0.3657082,-0.5475409999999999,0.39691988,0.06889302,-0.31713256,0.26608884,-0.91509295,-0.0280697,0.25986853,-0.7936938,-0.031517292999999995,0.7120789000000001,-0.11893745,-0.58478844,-0.034537934,-0.47717726,-0.022318792,-0.42239875,0.09825237,-0.18047415,-0.39859515,-0.41485262,0.2881406,0.13512279,-0.5810774999999999,0.28529567,0.18403769,-0.13170803,0.3942671,0.3029841,-0.3628198,-0.3943447,0.12682348,-0.17895234,-0.03476565,-0.08774042,0.10407404,0.05525933,-0.058866747,0.095368996,-0.039435968,-0.058702517,0.19188695,-0.16045526,-0.86969966,0.7317176999999999,-0.15202408,-0.23635083,-0.10498183,-0.14934108,-0.26862147,-0.25317258,0.25601798,0.9011792,0.23740354,0.13033168,-0.09734744,0.12070273,1.053338,0.3793765,-0.58064574,-0.7076614,0.46865064,0.4236841,0.03521342,-0.30243894,0.12852703,0.10806818,0.64528537,-0.43307224,0.049411543,-0.5693159000000001,-0.08428983,-0.2737698,-0.0022767615,0.118434936,-0.37448967,0.31347070000000005,-0.1944867,0.4460277,-0.69262785,0.5036129,0.4860407,0.014037158,0.037028734,-0.08912309,-0.0190679,-0.11137072,0.09959678,-0.5312073,0.43798342,0.11047959,0.1919078,-0.22128825,-0.08817734599999999,0.16424812,0.45801347,0.35473278,-0.16133326,-0.08462806,0.75368726,0.050586957,-0.26970354,0.05451736,0.6752862,-0.6519288000000001,0.2503147,0.030403145,-0.109080024,-0.10744161,0.43345094,-0.36165744,-0.30647240000000003,-0.62276345,1.0,6.0
