DOI,new_feature_1mag_first_auth,new_feature_2mag_first_auth,new_feature_3mag_first_auth,new_feature_4mag_first_auth,new_feature_5mag_first_auth,new_feature_6mag_first_auth,new_feature_7mag_first_auth,new_feature_8mag_first_auth,new_feature_9mag_first_auth,new_feature_10mag_first_auth,new_feature_11mag_first_auth,new_feature_12mag_first_auth,new_feature_13mag_first_auth,new_feature_14mag_first_auth,new_feature_15mag_first_auth,new_feature_16mag_first_auth,new_feature_17mag_first_auth,new_feature_18mag_first_auth,new_feature_19mag_first_auth,new_feature_20mag_first_auth,new_feature_21mag_first_auth,new_feature_22mag_first_auth,new_feature_23mag_first_auth,new_feature_24mag_first_auth,new_feature_25mag_first_auth,new_feature_26mag_first_auth,new_feature_27mag_first_auth,new_feature_28mag_first_auth,new_feature_29mag_first_auth,new_feature_30mag_first_auth,new_feature_31mag_first_auth,new_feature_32mag_first_auth,new_feature_33mag_first_auth,new_feature_34mag_first_auth,new_feature_35mag_first_auth,new_feature_36mag_first_auth,new_feature_37mag_first_auth,new_feature_38mag_first_auth,new_feature_39mag_first_auth,new_feature_40mag_first_auth,new_feature_41mag_first_auth,new_feature_42mag_first_auth,new_feature_43mag_first_auth,new_feature_44mag_first_auth,new_feature_45mag_first_auth,new_feature_46mag_first_auth,new_feature_47mag_first_auth,new_feature_48mag_first_auth,new_feature_49mag_first_auth,new_feature_50mag_first_auth,new_feature_51mag_first_auth,new_feature_52mag_first_auth,new_feature_53mag_first_auth,new_feature_54mag_first_auth,new_feature_55mag_first_auth,new_feature_56mag_first_auth,new_feature_57mag_first_auth,new_feature_58mag_first_auth,new_feature_59mag_first_auth,new_feature_60mag_first_auth,new_feature_61mag_first_auth,new_feature_62mag_first_auth,new_feature_63mag_first_auth,new_feature_64mag_first_auth,new_feature_65mag_first_auth,new_feature_66mag_first_auth,new_feature_67mag_first_auth,new_feature_68mag_first_auth,new_feature_69mag_first_auth,new_feature_70mag_first_auth,new_feature_71mag_first_auth,new_feature_72mag_first_auth,new_feature_73mag_first_auth,new_feature_74mag_first_auth,new_feature_75mag_first_auth,new_feature_76mag_first_auth,new_feature_77mag_first_auth,new_feature_78mag_first_auth,new_feature_79mag_first_auth,new_feature_80mag_first_auth,new_feature_81mag_first_auth,new_feature_82mag_first_auth,new_feature_83mag_first_auth,new_feature_84mag_first_auth,new_feature_85mag_first_auth,new_feature_86mag_first_auth,new_feature_87mag_first_auth,new_feature_88mag_first_auth,new_feature_89mag_first_auth,new_feature_90mag_first_auth,new_feature_91mag_first_auth,new_feature_92mag_first_auth,new_feature_93mag_first_auth,new_feature_94mag_first_auth,new_feature_95mag_first_auth,new_feature_96mag_first_auth,new_feature_97mag_first_auth,new_feature_98mag_first_auth,new_feature_99mag_first_auth,new_feature_100mag_first_auth,new_feature_101mag_first_auth,new_feature_102mag_first_auth,new_feature_103mag_first_auth,new_feature_104mag_first_auth,new_feature_105mag_first_auth,new_feature_106mag_first_auth,new_feature_107mag_first_auth,new_feature_108mag_first_auth,new_feature_109mag_first_auth,new_feature_110mag_first_auth,new_feature_111mag_first_auth,new_feature_112mag_first_auth,new_feature_113mag_first_auth,new_feature_114mag_first_auth,new_feature_115mag_first_auth,new_feature_116mag_first_auth,new_feature_117mag_first_auth,new_feature_118mag_first_auth,new_feature_119mag_first_auth,new_feature_120mag_first_auth,new_feature_121mag_first_auth,new_feature_122mag_first_auth,new_feature_123mag_first_auth,new_feature_124mag_first_auth,new_feature_125mag_first_auth,new_feature_126mag_first_auth,new_feature_127mag_first_auth,new_feature_128mag_first_auth,new_feature_129mag_first_auth,new_feature_130mag_first_auth,new_feature_131mag_first_auth,new_feature_132mag_first_auth,new_feature_133mag_first_auth,new_feature_134mag_first_auth,new_feature_135mag_first_auth,label,Fold_Id
10.1111/j.1467-8624.2012.01818.x,0.59176975,0.20582984,-0.7201093000000001,-0.21197714,0.6391842,-0.06983257,0.062746204,-0.029754547000000006,0.0017139401,-0.2946613,0.0763173,-0.34358153,-0.1641639,0.03892986,0.3253783,-0.027362349,-0.10158518,-0.011568597,-0.1635367,-0.24643694,0.15402564,0.44556138,0.45281622,-0.098373175,0.12328605,0.15581091,0.18697394,0.045308985,0.22076023,-0.49106124,-0.15165572,0.23497438,0.07089924,0.24286078,0.25806367,0.05758521,-0.21010032,0.008356604,0.06169162,0.30638063,-0.6287451999999999,-0.23989807,-0.36462584,0.26481158,-0.05087733,0.29851878,-0.53152883,0.10242346,-0.10530332,0.040933028,0.28015727,0.06427174,-0.29484668,-0.08296027,-0.21140362,0.08124930000000001,-0.12536883,-0.111920014,-0.011070927,-0.20820706,0.11344831,0.17413601,-0.6728925,-0.025816182000000003,-0.052640144000000014,0.15388256,0.20004511,0.105035625,-0.070224635,0.27074724,-0.07401827,-0.2560741,-0.23334244,0.32481170000000004,0.6903979,-0.3525328,0.3770841,0.045288183,-0.21271779,0.52610517,-0.06348978,0.0066119833,-0.18253292,-0.007078086500000001,0.40109795,-0.11054606,0.008171576,0.39241856,0.3741469,0.35461622,0.18197104,-0.2281342,-0.47911417,-0.19344671,-0.35192126,-0.14927791,0.09575134,-0.4943358,0.27259636,-0.025074942000000003,0.6914715,-0.45741543,-0.07712541,-0.06686876,-0.22768804,-0.11860676,0.0730539,-0.5675946,-0.1056466,0.17696287,0.080005564,0.45398277,0.39112422,-0.02408278,-0.08228512,0.3220654000000001,-0.3247022,0.4352821,0.51626074,0.22273955,-0.12534624,-0.20874965,-0.026144367,0.2124747,0.033998374,0.34615785,0.17710102,0.15307014,0.41255143,-0.012069796,-0.019974122,0.58245444,0.21501848,0.34000748,0.20191649,0.0,5.0
10.1016/j.jesp.2016.01.014,-0.1598191,0.03444183,-0.012629367,0.33026120000000003,0.24719274,-0.054918032,0.17963974,-0.049381766,-0.1648945,0.23213756,0.2618679,0.008646211,0.08808899,0.03848465,0.51916534,0.076772355,-0.27378368,-0.27465424,0.4590467,-0.6004307,-0.055493273,0.26041287,0.29659137,-0.27557984,0.3208538,-0.33760977,0.22331971,-0.38070434,0.15742527,-0.60487765,-0.1905925,-0.17909567,0.42965877,0.10030434,0.3819873,0.12891787,-0.06190422,-0.224554,-0.5566585999999999,-0.3161518,-0.58686715,-0.4473813,-0.12210336,0.4123555,0.03110069,-0.28422517,-0.0034462620000000003,-0.04849214,0.07486809,0.07370001,-0.1377296,-0.14461653,0.50240016,-0.19772491,-0.0939912,-0.0054154284,0.3220801,0.08110719,0.4404656,0.29165947,0.10244913,0.16373922,-0.5088782000000001,-0.0007496864999999999,0.021000726,-0.09557847,0.39389247,-0.23280773,0.042300705,-0.4742156,0.08584807,-0.35283715,-0.18301253,-0.28898668,1.0579376,0.18884449,0.40340734,0.2165178,0.24590923,0.3742655,0.02089845,-0.5112126,-0.37647322,-0.06408223,0.08815346,0.15877746,-0.15893027,-0.043576185,0.4165372000000001,0.31866506,0.043959077,0.02582741,-0.55176365,-0.5773951999999999,0.22710924,-0.041922286,-0.00041741508,-0.17913565,0.47751883,0.25990814,0.23229778,0.16371505,-0.23498489,0.90800786,-0.38530645,-0.08628243,0.20808445,0.06513589,-0.34379613,0.034850337,0.17772774,-0.05771731,-0.35116935,0.031765807,0.37516263,0.49915335,-0.4043258,0.041920472,0.38714293,-0.52662396,-0.15289654,-0.09406725,0.16730987,0.09075705,0.20527096,0.409501,0.10716355,0.21300922,0.179752,0.20697014,0.17464457,0.7098746,-0.32023528,0.16679367,-0.4294482,0.0,4.0
10.1016/j.jesp.2015.11.005,-0.02257881,0.45164183,-0.70122534,0.4392837000000001,0.5219636999999999,-0.026372954,0.25425616,-0.08874735,0.004951175,0.07072010000000001,0.27889952,0.009375389,0.13637443,-0.08083821,0.05035388,0.12844075,-0.006664265999999999,-0.43794343,0.12290767,0.21844216,0.18788044,-0.039988372,0.51684785,0.28519753,-0.08694872,-0.46754825,0.069453456,0.05628931,0.03293753,0.12878864,-0.08413509,0.18071654,-0.02798031,0.2281522,0.6235741,-0.5181657999999999,-0.22800742,0.41628605,-0.5617148,0.1908435,-0.10783745,-0.17010532,0.12397493,-0.8881529,-0.040135175,0.0059422730000000005,-0.43350032,-0.26414174,-0.11324624,-0.30042875,-0.060537122,-0.013202172,0.117610075,0.0732404,-0.39075089,0.09567231,-0.09776101,0.42728895,-0.39387533,-0.10807329,0.25468507,0.33534586,-0.2520391,0.07847546,0.030972851000000006,0.54409033,0.05418973,0.3480373,0.14551316,-0.31629568,0.075659424,-0.9261708,-0.19448394,-0.09674442,0.7398115,0.28155050000000004,0.27854955,0.07050543,0.115525424,0.021881355,0.0064944387,-0.46364224,-0.0325809,-0.025068337000000003,0.10967346,0.39439988,0.17293221,-0.07894257,0.2678627,0.30891538,0.37724644,0.48419827,-0.78456515,-0.3025012,-0.06489411,-0.17801635,-0.12874627,-0.2278631,0.39323398,-0.00045396906,0.0024554802,0.20812014,0.63470554,0.35220632,0.14068088,-0.22498028,-0.63265353,-0.34060425,-0.02250975,0.061189406,0.010574111,0.07569337,0.5151014,-0.021364924,-0.43551683,-0.049566858,-0.27798086,0.057394143,0.83305556,0.061249807,-0.050422795,-0.18153542,0.5644973000000001,0.27645594,0.073095635,0.5046878,0.497937,-0.25679013,0.12381708,0.12501457,0.13405043,0.5721556999999999,-0.050477814,-0.12162112,0.20052269,0.0,6.0
10.1037/a0035640,0.031642184,0.31168926,-0.239226,-0.050754406,0.91064185,0.119415276,0.2250215,-0.039564144,0.44914424,-0.0022837128,-0.2002668,-0.20224723,-0.06790273,-0.069050685,0.045116983,-0.043688387,-0.16201957,-0.2800364,-0.3115989,0.08808143,0.034353394,0.25910320000000003,0.5105023,-0.09781162,0.06962155,-0.32310809999999995,0.1567729,0.2794065,-0.019459866,-0.027495515,0.2389118,0.2888031,0.33970156,0.21988234,0.62218404,0.16755661,0.28451222,-0.13840792,-0.27441773,-0.33093417,-0.2126771,0.07415806,-0.007999109,0.10680586,-0.066788755,0.32708374,-0.22390795,-0.18873079,-0.06455106,0.10319457,-0.21127318,0.002425821,-0.15257217,-0.054399226,-0.015678633,0.14763384,-0.13693768,0.036039036,0.053593155,0.21165346,-0.19955967,0.08551621400000001,0.020332314,0.014346107,0.45506692,-0.14358515,0.61323875,0.051499367,-0.046515107,0.3706561,-0.16988742,-0.032490492,-0.23650137,0.043788753,0.6342627,-0.1068991,0.24955058,0.06553407,-0.1592211,0.45919403,-0.07274372,-0.23805521,0.217394,-0.11176989,0.24160762,-0.21256684,0.27329913,0.49255902,-0.12666115,0.35171529999999995,0.17207393,0.030726712000000007,-0.705912,0.058845066,-0.30019808,0.0055083246,0.11757454,-0.3321,0.087160684,-0.09109536,0.63733023,-0.26334342,0.17176852,0.2682732,-0.0073893564,0.23001061,-0.05847012,-0.4147260999999999,-0.25015327,0.019386623,0.22800666,0.19097081,0.5425996,-0.09753166,-0.09039102,-0.18538432,-0.01440399,-0.054178946,0.030111589,0.33767232,-0.14139213,-0.08312302,-0.13143387,-0.1867474,0.2895256,0.28647614,-0.0024655787,-0.15512551,0.07740394,-0.114665315,-0.22187379,0.6014982,0.16905688,0.20158128,-0.06670861,0.0,9.0
10.1177/0956797611413935,-0.16963792,0.048495557,-0.0693676,0.34295344,0.22954726,-0.094479926,0.2003478,-0.07239569,-0.060631834,0.13055727,0.30939522,0.11514054,0.25820005,0.09272126,0.71927696,0.04456449,-0.25983566,-0.055002857,0.7138671999999999,-0.7727371,0.02932602,0.21983114,0.35460708,-0.33675167,0.3766911,-0.40176308,0.26065177,-0.36141482,0.08724274,-0.828466,-0.16134709,-0.29830070000000003,0.51172197,-0.027754758,0.58862007,0.25517437,-0.051685296,-0.17651178,-0.6821172,-0.2709942,-0.633488,-0.55693316,-0.23123965,0.43869442,-0.014427812,-0.35793296,-0.13034773,-0.19795857,0.013852156,-0.026862688,-0.11274127,-0.19004484,0.7350186,-0.27861774,-0.12281468,-0.005288744000000001,0.40015984,0.042811982,0.4626324000000001,0.3175338,0.2388113,0.23068154,-0.7313417,0.12617567,0.061049342,-0.21717568,0.42472506,-0.37822568,0.013608943,-0.56020916,0.16071217,-0.34978265,-0.16119070000000002,-0.3046184,1.2283045,0.16079904,0.6311391,0.24333705,0.2835005,0.51368177,-0.09620176,-0.37043354,-0.4273053,-0.13031751,0.13248889,0.17209262,-0.16767463,-0.090386815,0.4661593,0.3500078,-0.034794185,0.051496413,-0.73254114,-0.5157891,0.23676147,-0.17355469,-0.07645881,-0.16608639,0.5624803,0.4857784000000001,0.24552555,0.3081718,-0.21970248,0.96902037,-0.44592237,-0.13178214,0.18777736,0.015714392,-0.47981796,0.036129683,0.113777496,-0.27063164,-0.61572504,0.06546915,0.4198022,0.5589696,-0.458085,-0.1196887,0.5779669,-0.68744195,-0.19874954,-0.13781114,0.13652618,0.024052743,0.25240254,0.4609186,0.26385143,0.39713874,0.25970376,0.30196258,0.3838732,0.8732873999999999,-0.27801138,0.13167188,-0.4049554,0.0,1.0
10.1037/a0028412,0.026839549,0.24049966,-0.32268754,-0.20830014,-0.16940646,0.1021326,1.2209793,-0.00051426236,0.11209027,0.0019695957,0.7026351,-0.21040048,0.28639594,-0.09916045,-0.7917441999999999,-0.21698602,0.03663897,-0.42094418,-0.049480777,-0.18154244,0.68436056,0.5683849,-0.22620285,-0.9790822,-1.0827093,-0.50245917,0.027260492,0.32018495,-0.28962567,-0.75198287,-0.06841689,0.37059072,0.15329064,0.4653679,0.32466114,0.05318334,0.24777508,0.8713314,-0.7350460999999999,0.16263768,0.09695858,-0.37131876,0.23198085,0.75392085,0.49431896,-0.41709948,-0.096031204,-0.5047372,0.19871855,-0.17480563,0.37183526,0.19309354,-0.50960296,0.35426929999999995,0.43479174,-0.23592496,-0.27505758,0.39895916,-0.0132076945,-0.35636398,-0.27084693,0.5171587000000001,-0.65853554,-0.38177618,-0.029221628,-0.14455299,0.4694389,0.19191025,0.0011434560000000002,-0.033331756000000004,0.25863773,-0.28544590000000003,-0.32742205,-0.4458607,0.5208621,0.23366104,-0.09050068,-0.14277382,0.25825468,0.76307255,0.04293348,0.24419259,0.876389,-0.45279592,0.025591644,-0.1938093,0.18222922,-0.4429891,-0.12938829,0.026869383,-0.30727175,-0.24714151,-0.51436776,-0.2384639,-0.64353895,-0.18592022,-0.18068111,-0.040297173,-0.41441804,-0.21626343,0.021098474,0.28310707,0.15559532,0.6191095,0.06011972,-0.332148,-0.4689975,0.30815822,-0.28095788,-0.2037613,-0.018861936,0.18805279,-0.091764756,0.6005694,-0.0936342,-0.07975733,-0.20175014,-1.0375806,-0.15365128,-0.13234286,-0.31610948,0.124016605,0.28348090000000004,0.018243443,-0.18204868,0.055193238,-0.40248105,-0.07857012,0.0006652475599999999,-0.27387404,-0.081889965,-0.23071729,-0.109823614,0.5826038,-0.35862786,0.0,9.0
10.1111/jomf.12383,-0.89071786,-0.5810247,-0.6124119,0.14954694,-0.418668,0.66053337,0.27601826,-0.39918986,0.03287735,0.4976575,-0.5190570999999999,0.19119386,-0.606298,0.17065774,0.2970187,0.014721268,0.17259656,0.93237305,0.20453338,-0.2595623,0.27390537,-0.18397139,-0.27820146,-0.531872,-0.44229266,-0.059891716,0.12068974,0.07342942,0.035277758,-0.35899732,-0.25903930000000003,-0.6048906999999999,0.3880825,-0.12844336,-0.07681981,0.15215598,0.28300855,0.10612805,0.26847765,-0.25643197,-0.21866214,-0.32004237,0.5639427,-0.026350096,-0.17873615,0.19192967,0.2195592,-0.8530205,0.32313883,-0.18290128,-0.010143795,0.6853206000000001,0.48576877,-0.6796342,-0.43101874,-0.23093751,0.08024007,0.37368977,-0.45740604,0.22604738,0.18452118,0.57192016,-0.5651813,0.40890393,-0.36628228,-0.14692806,1.1010642,-0.009916597,0.34894603,0.25262916,0.42369127,-0.26367529999999995,-0.29336104,0.68897724,0.91728204,-0.41448215,-0.5961094,0.03437585,0.06694416,0.18636537,0.18411328,-0.008009804,-0.04967318,-0.17759138,-0.50233704,0.5567426999999999,-0.21319246,0.39873785,0.36858353,-0.21466003,-0.04832815,0.047030766,-0.43260127,0.116320655,-0.7967509,0.0008531247,0.013682253,-0.050343376,0.21870168,-0.18225962,0.5744256,0.3051939,-0.8469834999999999,0.13556163,-0.2497625,0.53575724,0.19867463,-0.7384053,0.15028106,-0.3524258,-0.2584998,0.5051141,-0.25261855,0.8789440000000001,-0.120972395,-0.021021327000000003,-0.295335,0.04370212,0.48331842,0.37267372,-0.31840667,-0.56918544,0.15134591,0.30013427,0.050346527,0.32007954,0.2708171,0.7831448000000001,-0.07194143,-0.60634214,-0.07734749,-0.24377993,0.45734695,0.07204367,-0.2564426,0.0,1.0
10.1093/esr/jcq021,-0.11446206,-0.14847788,0.0043477695,-0.7131375,-0.29746076,0.3191257,0.31943077,-0.13633871,-0.4813885,0.4716037,-0.24558263,-0.07783492,-0.07417778,0.13757220000000006,0.53886425,0.2851756,0.2948515,-0.058649883,-0.21183299,-0.101956315,0.36472374,-0.17912021,-0.12240096,-0.40623042,-0.040974613,0.01625783,0.19789498,0.11371443,0.06595161599999999,-0.14846534,0.041993856,0.031855445,0.17581247,-0.08486707,-0.06482648,-0.15021862,0.7833654999999999,0.45690754,-0.12685476,0.2630796,-0.095062986,-0.004399236,0.20768377,-0.32566226,0.021851642,-0.06225587,0.5441291,-0.7902063,0.33376914,-0.101041354,0.7622270999999999,0.41140136,0.27285117,-0.0549596,-0.5140647,-0.031540483,0.20796202,0.040239144,-0.24462932,0.18867621,-0.094871916,0.31069776,-0.41377252,-0.121777676,0.012061092,-0.6290383,0.57610625,0.4389758,-0.11617401,0.30755913,0.25047329999999995,-0.22610214,0.27154493,-0.014198685,0.2123637,0.1248737,-0.22968516,-0.26645955,-0.027074363,0.2947783,0.41824934,0.008757437,0.327957,0.08410161,0.36316732,-0.081893206,-0.4640888,0.3656154,0.25380045,0.16731633,0.013288319,0.07888274,-0.39403298,-0.3390401,-0.2963084,0.07386463,-0.07120446,-0.1825768,0.12688501,-0.19496003,-0.40216985,0.1469206,-0.2537165,0.20809437,0.10612429,0.2599343,0.1217605,0.38190344,0.32513165,-0.14818403,-0.01665813,-0.10008875,0.21523748,0.7204228,-0.3221373,0.12739153,0.09074504,-0.13761699,0.51084137,0.3008548,-0.56407225,-0.34058243,0.35469303,0.19373073,-0.22392441,0.28992978,0.121395715,0.31089282,0.08272997,-0.17270228,-0.044360165,-0.1387874,0.008321355,-0.03142522,0.53714687,1.0,6.0
10.1007/s10683-010-9234-8,-0.31801245,0.12087849,-0.60548836,-1.2621446000000005,0.29568955,-0.05919133,0.72835183,0.06793991,0.1643081,-0.009358529,0.72439104,-0.045654017000000005,0.54255384,-0.007596357,0.42368844,0.13659741,0.250916,-0.11600147,0.2133134,-0.096657135,0.022715267,-0.27786326,-0.08021606,0.52448785,-0.06883378,-0.65591943,0.64692754,0.60305315,-0.003973662,0.4281194,0.20636997,-0.35665953,0.6887116,0.18430269,0.42753235,-0.66033787,0.13489674,-0.33683738,-0.20335491,-0.109875135,-0.82404417,-0.11066534,0.2028139,0.20806596,0.043587107,0.6364979000000001,0.31396356,-0.3531056,0.10293383,-0.21548739,0.48128504,0.33507827,-0.34466317,0.5515389,-0.06899923,-0.7188849,-0.024039706,0.15613991,0.61151344,0.42584985,-0.26052108,0.13882008,0.2540397,-0.3660969,-0.6512218000000001,0.091857895,0.79079056,0.62327546,0.07042264,-0.0725864,0.4038046,0.12279672,-0.01476236,-0.00895387,0.41303098,-0.36832422,-0.044162516,-0.06311571,0.25802302,0.35127953,-0.33419102,-0.60305727,0.3364811,-0.3464719,0.47183186,0.024771519,-0.15422213,-0.23187283,-0.24795274,0.22618447,-0.19117337,0.26736692,-0.5719035,-0.11700283,0.25161144,-0.29280470000000003,-0.2796285,0.14122014,0.48691416,-0.3919903,-0.5601025,-0.19306788,-0.35452,0.55380034,0.6159543000000001,0.35733727,-0.27549607,-0.21227694,0.2930084,-0.163579,-0.67319465,0.117420346,-0.06379818,0.27443793,-1.1383108,-0.24170724,-0.34189287,-0.17050654,0.41456172,-0.07871911,-0.22133975,-0.42965922,0.5125719,-0.046625655,0.020891745,-0.3396003,0.77532524,1.5361664,-0.052608400000000013,-0.38371745,-0.31047177,0.534514,-0.44387048,0.7747851,-0.096862674,0.0,7.0
10.1002/job.783,-0.6231508000000001,0.30785808,0.68519545,-0.81367475,-0.009413474,-0.15180811,1.7990402,1.2150795,0.24642012,0.7024991999999999,1.0747273000000002,-0.41350356,1.2173523000000002,0.5105504,0.09737405,0.23805344,0.12207016,0.21563703,0.9894788,-0.17137018,-0.095661625,0.005425981,-0.09063938,0.7709882,0.010180518,0.09309569,-0.30586112,-0.27187678,-0.60805476,-0.58356875,0.39555404,0.13342068,0.57452285,0.44215703,0.21236934,-0.19030987,0.49156913,0.8163161,-0.03506146,-0.16661067,-0.06941552,0.54668283,0.28381518,0.048775893,-0.16508976,1.3120593,-0.34826747,0.281692,-0.42136657,-0.5943866,0.30088574,-0.46031874,-0.36836305,0.57733184,-0.47971413,0.29438576,-0.08714989,0.41246033,0.8126025,-0.21644883,-0.23944038,0.5413872,0.057935454,-1.0068243,0.25263178,-0.38251543,0.89482486,0.50558984,0.6795485,0.76158655,-0.15499118,-0.5982666999999999,0.22242895,0.24635951,1.0797671,-0.34286308,-0.18895636,1.1815801,0.18609186,0.728262,-0.2089839,-0.4143518,0.8786478000000001,-0.09213513,0.13720244,0.67186385,-0.47417095,0.37919474,0.12838802,0.57532054,-0.23539421,0.29994923,-8.987011999999999e-05,-0.14243218,-0.5972017,-0.23906139,-0.6045915,0.46978167,0.6000482,0.08445181,-0.23801398,0.19584812,0.9164494,0.19360504,0.58593297,0.5297774000000001,0.80352926,-0.083779335,0.36855486,-0.11304856,0.13733397,-0.38728878,-0.65742093,0.33015898,-0.6078163000000001,0.10253908,0.19892354,0.20196763,0.2304808,0.1252756,-0.17298022,-0.6095624,0.051823653,0.8248369000000001,0.36498162,0.18491322,-0.07956347,0.9251751,0.07295855,-0.56272423,-0.37964588,-0.19790393,-0.3068521,-0.11209496,-0.22430548,0.0,1.0
