"paper_id","cs_m1","n_experts_m1","first_expert_date_m1","last_expert_date_m1","cs_m2","n_experts_m2","first_expert_date_m2","last_expert_date_m2","cs_m3","n_experts_m3","first_expert_date_m3","last_expert_date_m3","cs_m4","n_experts_m4","first_expert_date_m4","last_expert_date_m4","cs_m5","n_experts_m5","first_expert_date_m5","last_expert_date_m5","cs_m6","n_experts_m6","first_expert_date_m6","last_expert_date_m6","cs_m7","n_experts_m7","first_expert_date_m7","last_expert_date_m7","cs_m8","n_experts_m8","first_expert_date_m8","last_expert_date_m8","cs_m9","n_experts_m9","first_expert_date_m9","last_expert_date_m9","cs_m10","n_experts_m10","first_expert_date_m10","last_expert_date_m10","cs_m11","n_experts_m11","first_expert_date_m11","last_expert_date_m11","cs_m12","n_experts_m12","first_expert_date_m12","last_expert_date_m12"
"00bb",0.22000001,10,"2020-05-01","2020-05-24",0.236447383903278,10,"2020-05-01","2020-05-24",0.205931479215867,10,"2020-05-01","2020-05-24",0.148,30,"2020-05-04","2020-05-11",0.165466985702968,30,"2020-05-04","2020-05-11",0.214,30,"2020-05-04","2020-05-11",0.340086976607223,30,"2020-05-04","2020-05-11",0.257689749335535,10,"2020-05-01","2020-05-24",0.458,30,"2020-05-04","2020-05-11",0.174166338076372,10,"2020-05-01","2020-05-24",0.423,30,"2020-05-04","2020-05-11",0.3,0,NA,NA
"01Ll",0.65,13,"2019-11-01","2019-11-24",0.565755708705416,13,"2019-11-01","2019-11-24",0.580252942758705,13,"2019-11-01","2019-11-24",0.262,28,"2019-11-04","2019-11-10",0.489793304568798,28,"2019-11-04","2019-11-10",0.45,28,"2019-11-04","2019-11-10",0.448857641063139,28,"2019-11-04","2019-11-10",0.31999831225452,13,"2019-11-01","2019-11-24",0.494,28,"2019-11-04","2019-11-10",0.432875091806247,13,"2019-11-01","2019-11-24",0.481785714285714,28,"2019-11-04","2019-11-10",0.3,0,NA,NA
"01Wk",0.8,51,"2019-09-08","2019-10-02",0.741220374357768,51,"2019-09-08","2019-10-02",0.723069792414547,51,"2019-09-08","2019-10-02",0.454,7,"2019-09-10","2019-09-14",0.465163133255382,7,"2019-09-10","2019-09-14",0.41,7,"2019-09-10","2019-09-14",0.427209095475284,7,"2019-09-10","2019-09-14",0.300838102523702,51,"2019-09-08","2019-10-02",0.454,7,"2019-09-10","2019-09-14",0.668889979159871,51,"2019-09-08","2019-10-02",0.467142857142857,7,"2019-09-10","2019-09-14",0.3,0,NA,NA
"03e8",0.83,16,"2020-05-27","2020-06-21",0.798326910748965,16,"2020-05-27","2020-06-21",0.80246359058358,16,"2020-05-27","2020-06-21",0.87,25,"2020-06-01","2020-06-08",0.732671941560006,25,"2020-06-01","2020-06-08",0.808,25,"2020-06-01","2020-06-08",0.778359302591021,25,"2020-06-01","2020-06-08",0.741171423540702,16,"2020-05-27","2020-06-21",0.726,25,"2020-06-01","2020-06-08",0.825673553466756,16,"2020-05-27","2020-06-21",0.7124,25,"2020-06-01","2020-06-08",0.8,0,NA,NA
"05L8",0.71,10,"2020-05-01","2020-05-22",0.71563654200786,10,"2020-05-01","2020-05-22",0.797801018445152,10,"2020-05-01","2020-05-22",0.802,26,"2020-05-04","2020-05-10",0.910987912987862,26,"2020-05-04","2020-05-10",0.824,26,"2020-05-04","2020-05-10",0.853996474843556,26,"2020-05-04","2020-05-10",0.865081333524321,10,"2020-05-01","2020-05-22",0.766,26,"2020-05-04","2020-05-10",0.829154372020006,10,"2020-05-01","2020-05-22",0.815384615384615,26,"2020-05-04","2020-05-10",0.8,0,NA,NA
"08gk",0.56,7,"2019-12-22","2020-01-24",0.503580344797716,7,"2019-12-22","2020-01-24",0.4539057806198,7,"2019-12-22","2020-01-24",0.4,23,"2020-01-06","2020-01-12",0.356808289989118,23,"2020-01-06","2020-01-12",0.382,23,"2020-01-06","2020-01-12",0.460269437911301,23,"2020-01-06","2020-01-12",0.27960924855742,7,"2019-12-22","2020-01-24",0.458,23,"2020-01-06","2020-01-12",0.439652516045145,7,"2019-12-22","2020-01-24",0.528695652173913,23,"2020-01-06","2020-01-12",0.3,0,NA,NA
"08v5",0.53,17,"2019-10-04","2019-10-27",0.420218082637726,17,"2019-10-04","2019-10-27",0.435960599640617,17,"2019-10-04","2019-10-27",0.62,11,"2019-10-07","2019-10-13",0.728512460425682,11,"2019-10-07","2019-10-13",0.626,11,"2019-10-07","2019-10-13",0.663624975882518,11,"2019-10-07","2019-10-13",0.577751646631703,17,"2019-10-04","2019-10-27",0.548,11,"2019-10-07","2019-10-13",0.474309423664749,17,"2019-10-04","2019-10-27",0.623333333333333,11,"2019-10-07","2019-10-13",0.4,0,NA,NA
"0a2L",0.36999997,20,"2019-09-08","2019-09-29",0.307138634260731,20,"2019-09-08","2019-09-29",0.345856380342648,20,"2019-09-08","2019-09-29",0.666,9,"2019-09-09","2019-09-15",0.779231967452823,9,"2019-09-09","2019-09-15",0.69,9,"2019-09-09","2019-09-15",0.722867815290179,9,"2019-09-09","2019-09-15",0.465840002405231,20,"2019-09-08","2019-09-29",0.598,9,"2019-09-09","2019-09-15",0.467147853939358,20,"2019-09-08","2019-09-29",0.67,9,"2019-09-09","2019-09-15",0.5,0,NA,NA
"0a3Z",0.41599998,11,"2020-07-21","2020-08-17",0.441902854560981,11,"2020-07-21","2020-08-17",0.345627656216968,11,"2020-07-21","2020-08-17",0.524,28,"2020-07-27","2020-08-02",0.383995012127781,28,"2020-07-27","2020-08-02",0.58,28,"2020-07-27","2020-08-02",0.564509832992416,28,"2020-07-27","2020-08-02",0.377867998943635,11,"2020-07-21","2020-08-17",0.64,28,"2020-07-27","2020-08-02",0.367699496308534,11,"2020-07-21","2020-08-17",0.6,28,"2020-07-27","2020-08-02",0.4,0,NA,NA
"0amZ",0.42999998,8,"2019-11-01","2019-11-24",0.361232279609173,8,"2019-11-01","2019-11-24",0.274838116042184,8,"2019-11-01","2019-11-24",0.336,12,"2019-11-04","2019-11-10",0.264305367932259,12,"2019-11-04","2019-11-10",0.382,12,"2019-11-04","2019-11-10",0.374355202054672,12,"2019-11-04","2019-11-10",0.267305851690256,8,"2019-11-01","2019-11-24",0.36,12,"2019-11-04","2019-11-10",0.289381666863023,8,"2019-11-01","2019-11-24",0.414166666666667,12,"2019-11-04","2019-11-10",0.3,0,NA,NA
"0Apr",0.55,13,"2019-10-04","2019-10-23",0.544575696229338,13,"2019-10-04","2019-10-23",0.559229139143473,13,"2019-10-04","2019-10-23",0.174,13,"2019-10-07","2019-10-13",0.364147759819744,13,"2019-10-07","2019-10-13",0.328,13,"2019-10-07","2019-10-13",0.309944863643852,13,"2019-10-07","2019-10-13",0.31999831225452,13,"2019-10-04","2019-10-23",0.49,13,"2019-10-07","2019-10-13",0.411780002501592,13,"2019-10-04","2019-10-23",0.373076923076923,13,"2019-10-07","2019-10-13",0.3,0,NA,NA
"0B0k",0.75000006,42,"2019-09-08","2019-10-02",0.576919510238402,42,"2019-09-08","2019-10-02",0.543684937725012,42,"2019-09-08","2019-10-02",0.728,9,"2019-09-09","2019-09-15",0.625356149383827,9,"2019-09-09","2019-09-15",0.668,9,"2019-09-09","2019-09-15",0.652619449837057,9,"2019-09-09","2019-09-15",0.268757026061075,42,"2019-09-08","2019-10-02",0.666,9,"2019-09-09","2019-09-15",0.597839395538184,42,"2019-09-08","2019-10-02",0.674444444444445,9,"2019-09-09","2019-09-15",0.3,0,NA,NA
"0b8",0.46999997,5,"2019-11-27","2019-12-22",0.437532641069028,5,"2019-11-27","2019-12-22",0.463527258251995,5,"2019-11-27","2019-12-22",0.78,11,"2019-12-02","2019-12-08",0.786875318671367,11,"2019-12-02","2019-12-08",0.78,11,"2019-12-02","2019-12-08",0.803119815367842,11,"2019-12-02","2019-12-08",0.4134558605488,5,"2019-11-27","2019-12-22",0.676,11,"2019-12-02","2019-12-08",0.673236288234323,5,"2019-11-27","2019-12-22",0.720909090909091,11,"2019-12-02","2019-12-08",0.4,0,NA,NA
"0d35",0.62999994,12,"2020-07-21","2020-08-16",0.602480582755383,12,"2020-07-21","2020-08-16",0.652943485408972,12,"2020-07-21","2020-08-16",0.498,26,"2020-07-27","2020-08-02",0.605256494294081,26,"2020-07-27","2020-08-02",0.502,26,"2020-07-27","2020-08-02",0.598564573170732,26,"2020-07-27","2020-08-02",0.484028701353356,12,"2020-07-21","2020-08-16",0.722,26,"2020-07-27","2020-08-02",0.595342978986301,12,"2020-07-21","2020-08-16",0.620769230769231,26,"2020-07-27","2020-08-02",0.5,0,NA,NA
"0d85",0.74,15,"2020-06-20","2020-07-20",0.694719587355351,15,"2020-06-20","2020-07-20",0.76916384331238,15,"2020-06-20","2020-07-20",0.722,26,"2020-06-29","2020-07-05",0.69860937558797,26,"2020-06-29","2020-07-05",0.73,26,"2020-06-29","2020-07-05",0.723426311047035,26,"2020-06-29","2020-07-05",0.751697562248571,15,"2020-06-20","2020-07-20",0.74,26,"2020-06-29","2020-07-05",0.759139145174565,15,"2020-06-20","2020-07-20",0.696923076923077,26,"2020-06-29","2020-07-05",0.8,0,NA,NA
"0dr8",0.56,19,"2020-06-20","2020-07-20",0.532998325909019,19,"2020-06-20","2020-07-20",0.49316445217753,19,"2020-06-20","2020-07-20",0.37,24,"2020-06-30","2020-07-06",0.482325301454106,24,"2020-06-30","2020-07-06",0.392,24,"2020-06-30","2020-07-06",0.38704933691427,24,"2020-06-30","2020-07-06",0.393526244551542,19,"2020-06-20","2020-07-20",0.534,24,"2020-06-30","2020-07-06",0.445850794359547,19,"2020-06-20","2020-07-20",0.504166666666667,24,"2020-06-30","2020-07-06",0.3,0,NA,NA
"0eb8",0.35999998,11,"2020-05-27","2020-06-21",0.359098301195874,11,"2020-05-27","2020-06-21",0.318502377775738,11,"2020-05-27","2020-06-21",0.348,25,"2020-06-01","2020-06-08",0.521881025937303,25,"2020-06-01","2020-06-08",0.38,25,"2020-06-01","2020-06-08",0.433467946594949,25,"2020-06-01","2020-06-08",0.420455588878816,11,"2020-05-27","2020-06-21",0.632,25,"2020-06-01","2020-06-08",0.360729669891284,11,"2020-05-27","2020-06-21",0.5256,25,"2020-06-01","2020-06-08",0.3,0,NA,NA
