DOI_CR,paper_id,author_full,Fold_Id
10.1016/j.jesp.2018.04.001,jJ,"Imhoff, Roland; Koch, Alex; Flade, Felicitas",2.0
10.1016/j.jesp.2018.06.002,AWX,"Tang, Simone; Gray, Kurt",4.0
10.1016/j.jesp.2017.11.013,1VE,"McClung, Jennifer Susan; Reicher, Stephen David",8.0
10.1016/j.jesp.2016.07.006,JA2,"Buelow, Melissa T.; Wirth, James H.",9.0
10.1016/j.jesp.2016.11.014,zlw,"Zunick, Peter V.; Samayoa, Javier A. Granados; Fazio, Russell H.",4.0
10.1016/j.jesp.2017.06.015,QGG,"Cowgill, Colleen M.; Rios, Kimberly; Simpson, Ain",8.0
10.1016/j.jesp.2017.07.008,G1O,"Duran, Nicholas D.; Nicholson, Stephen P.; Dale, Rick",5.0
10.1016/j.jesp.2015.11.006,XGZ,"Ufkes, Elze G.; Calcagno, Justine; Glasford, Demis E.; Dovidio, John F.",10.0
10.1016/j.jesp.2015.11.005,Q2Q,"Bostyn, Dries H.; Roets, Arne",6.0
10.1016/j.jesp.2016.01.014,rvb,"Namkoong, Jae-Eun; Henderson, Marlone D.",10.0
10.1016/j.jesp.2016.02.008,GXz,"Pansu, Pascal; Regner, Isabelle; Max, Sylvain; Cole, Pascale; Nezlek, John B.; Huguet, Pascal",10.0
10.1016/j.jesp.2015.11.008,rjb,"Luttrell, Andrew; Petty, Richard E.; Brinol, Pablo",8.0
10.1016/j.jesp.2014.09.010,ZEa,"Lamer, Sarah Ariel; Reeves, Stephanie L.; Weisbuch, Max",10.0
10.1016/j.jesp.2014.12.004,D8e,"Locke, Connson C.; Anderson, Cameron",4.0
10.1016/j.jesp.2015.04.001,JrB,"Pliskin, Ruthie; Sheppes, Gal; Halperin, Eran",1.0
10.1016/j.jesp.2015.05.012,EJa,"Rennels, Jennifer L.; Kayl, Andrea J.",1.0
10.1016/j.jesp.2013.11.010,DDX,"Sussman, Abigail B.; Khemlani, Sangeet S.; Oppenheimer, Daniel M.",10.0
10.1016/j.jesp.2014.04.009,0W8,"Haran, Uriel; Ritov, Ilana",3.0
10.1016/j.jesp.2014.05.002,EAa,"Hansen, Jochim; Melzner, Johann",8.0
10.1016/j.jesp.2014.07.013,JWy,"Jiang, Yuwei; Chen, Zhansheng; Wyer, Robert S., Jr.",8.0
10.1016/j.jesp.2013.04.009,QBm,"Eskine, Kendall J.; Novreske, Ashley; Richards, Michelle",9.0
10.1016/j.jesp.2013.05.014,V5A,"Agroskin, Dmitrij; Jonas, Eva",2.0
10.1016/j.jesp.2012.12.008,pz8,"Franklin, Robert G., Jr.; Zebrowitz, Leslie A.; Fellous, Jean-Marc; Lee, Annie",10.0
10.1016/j.jesp.2011.10.017,50z,"Tarrant, Mark; Branscombe, Nyla R.; Warner, Ruth H.; Weston, Dale",3.0
10.1016/j.jesp.2011.12.005,ArY,"Suessenbach, Philipp; Bohner, Gerd; Eyssel, Friederike",1.0
10.1016/j.jesp.2012.02.002,9J1,"Kappes, Andreas; Singmann, Henrik; Oettingen, Gabriele",9.0
