paper_id,important_segment,label,Fold_Id
1,"effects were obtained when both pictures were named. When pictures with superimposed distractor words were named or the words were read in Experiment 3, the words influenced the latencies of gaze shifting and picture naming, but the pictures yielded no such latency effects in word reading. The picture–word asymmetry was obtained even with equivalent reading and naming latencies. The picture–picture effects suggest that activation spreads continuously from concepts to phonological forms, whereas the picture–word asymmetry indicates that the amount of activation is limited and task dependent. Keywords: attention, cascade processing, eye movements, word production Does activation spread in an automatic",1.0,7.0
4,"forgetting is as important a function as recollecting” (p. 679). Memories become irrelevant and outdated, and without some means of forgetting or setting aside such memories, learning and accessing new and relevant memories would become steadily more difficult. One way in which it appears that this form of goal-directed forgetting is accomplished is through retrieval inhibition (e.g., E. L. Bjork, Bjork, & Anderson, 1998; R. A. Bjork, 1989) or the executive control processes of inhibition (Anderson, 2003). As proposed by these researchers, in searching for a particular item in memory, other items that are related, but incorrect, can vie for",1.0,6.0
6,"The authors’ simulations suggest, contrary to previous interpretations, that these results are consistent with a single-system account. Keywords: fluency, repetition priming, recognition, computational model The question of whether repetition priming and recognition are mediated by independent or related memory processes has received much attention and has played a key role in the development of theories of the organization of memory. Repetition priming is the term used to refer to a change in identification, detection, or production of an item (e.g., a word) as a result of prior exposure to the same or a similar item, whereas recognition memory typically refers",1.0,9.0
7,"long items, and also correctly predicts that participants performing less well overall demonstrate smaller and less reliable phonological similarity and word-length effects and are more likely to show reversals. These patterns appear within the model without the need to assume a change in encoding or rehearsal strategy or the deployment of a different storage buffer. The implications of these results and the wider applicability of the distributionmodeling approach are discussed. Keywords: memory modeling, individual differences, immediate recall A number of phenomena are assumed to typify the functioning of immediate memory, including the acoustic confusion or phonological similarity effect (PSE; reduced",1.0,7.0
8,"(e.g., Spaniol & Bayen, 2002). Specifically, when participants fail to recollect source-identifying information about a test item, they guess a source by responding in a way that matches their sense of the likelihood or probability that the test item is associated with a particular source (e.g., “I can’t remember who presented this item, but I know that Jane’s a doctor. Therefore, she likely presented this doctor-like sentence”), thus producing stereotype-biased performance (Spaniol & Bayen, 2002; see Dodson & Johnson, 1996, for a related view). Researchers within social psychology have reached similar conclusions about the influence of stereotypes and expectations on",1.0,8.0
10,"numerical dimension in different notation pairs. In the same–different paradigm, 2 digits were presented either in the same or in different notations. Participants had to indicate whether the 2 digits were physically the same. The results again showed evidence for the automatic processing of numerical magnitude for pairs in different notations. Findings of both experiments suggest that numbers in different notations are automatically translated into a common representation of magnitude, in line with M. McCloskey’s (1992) abstract representation model. Keywords: automaticity, numerical processing, numerical notations Numerical information appears in different formats, such as Arabic digits (e.g., 34), words (e.g., thirty-four),",1.0,1.0
11,"validated featurebased semantic representations as a basis for computing semantic neighborhood density and suggested that near and distant neighbors have opposite effects on word processing. Experiment 2 confirmed these results: Word processing was slower for dense near neighborhoods and faster for dense distant neighborhoods. Analysis of a computational model showed that attractor dynamics can produce this pattern of neighborhood effects. The authors argue for reconsideration of traditional models of neighborhood effects in terms of attractor dynamics, which allow both inhibitory and facilitative effects to emerge. Keywords: semantics, neighborhood density, word recognition, attractor networks Semantic processing is a crucial, yet poorly",1.0,1.0
15,"a reanalysis of data from Jacoby, Lindsay, and Hessels (2003). We then report new experiments from our own laboratory whose results are consistent with the contingency hypothesis of Schmidt et al. but are very problematic for the long-standing modulation hypothesis. Possible mechanisms by which participants use contingency information to control responding are considered, and one of them is tested. Both the response time and error data are consistent with this proposed mechanism. We suggest that the modulation account of the proportion congruency effect, dominant for over 20 years, has run its course. Instead, we argue that the data are better",1.0,4.0
19,"each paradigm. Similarity is computed as an exponentially decreasing function of the distance between the probe and each list episode i: simprobe,i exp c u Ditem probe,i 1 u Dctx probe,i , (2) with Ditem representing the distance between the probe and an episode i on the dimension of item identity, and Dctx representing their distance on the context dimension. For simplicity, I coded D as 0 for a match and as 1 for a mismatch between the probe and an episode on the relevant dimension.1 The free parameter u represents the weight of item matches relative to context matches,",1.0,10.0
24,"review, see Bassok, 2001). In the next section, we present some illustrative examples from this prior work. Then, we report results from two relational priming experiments in which pairs of word primes that were semantically aligned and misaligned with addition modulated automatic activation of addition facts. In the General Discussion section, we suggest that the semantic and the arithmetic memory networks do not just share analogous representations of interrelated concepts but are actually coordinated with each other via analogous semantic and arithmetic relations. Semantic Alignments in Mathematical Word Problems People have extensive experience with mathematical applications, whether they are solving",1.0,3.0
26,"read a class of stimuli correctly and decreased when it cannot generate a correct pronunciation for that class of stimuli. The pathway control hypothesis makes a number of straightforward predictions in the context of DRC. Namely, the nonlexical pathway will be emphasized when nonwords are read aloud because it is required to generate a correct pronunciation for items not represented in the orthographic and phonological lexicons. Similarly, the lexical pathway will be emphasized when exception words are read aloud because it is required to generate a correct pronunciation for words that do not follow the model’s grapheme– phoneme conversion rules.",1.0,4.0
27,"identification, and classification), and concluded that the stage model provided a better account of empirical additive effects and that the cascade model incorrectly predicted the relations between means and variances (see Roberts & Sternberg, 1993, and Yap & Balota, 2007, for more in-depth discussion). Melvin Yap, and David Balota Department of Psychology, Washington University, Chi-Shing Tse Department of Psychology, University at Albany, State University of New York; Derek Besner, Department of Psychology, University of Waterloo, Ontario, Canada. Melvin Yap is now at the Department of Psychology, National University of Singapore, Republic of Singapore; Chi-Shing Tse is now at the Department",1.0,4.0
28,"word increases as the levels of activation of nontarget words increase. The primary source of empirical evidence cited in support of lexical selection by competition is the semantic interfer- ence effect (e.g., Lupker, 1979; Rosinski, 1977): Naming a picture of an object (e.g., CAR) is slower in the context of a semantic category coordinate distractor word (e.g., truck) compared to an unrelated distractor word (e.g., table). The explanation of the semantic interference effect in terms of lexical selection by competition assumes that semantic category coordinate distractors lead to more highly activated lexical representations than do unrelated distractors.1 Recently, the assumption",0.0,4.0
29,"correlations in multidimensional sequences (possibly another form of VSL) may in turn help define what counts as an object. Keywords: statistical learning, feature binding, objects, feature dimensions Visual perception is remarkable in at least two ways. First, it serves to make us aware of a highly coherent and structured world, despite noisy fragmented input. Second, it provides such experiences without any hint of the underlying computational complexity involved in their construction. In fact, recent work has demonstrated that perception is supported by surprisingly subtle types of visual associative learning. One type of learning—visual statistical learning—may be particularly important in this",1.0,8.0
