paper_id,label,important_segment,important_segment_parsed_tree
10.1016/j.jesp.2018.06.002,0,"Pairwise contrast tests revealed that, as predicted,DenComp had higher ratings of experience when represented by theCEO (M = 4.11, SD = 1.80) versus the headquarters (M = 3.58, | SD = 1.83), t(299) = 2.29, p = .023, d = 0.29.","(ROOT  (S    (S      (NP (JJ Pairwise) (NN contrast) (NNS tests))      (VP (VBD revealed)        (SBAR (IN that) (, ,)          (S            (SBAR (IN as)              (S                (VP (VBN predicted))))            (, ,)            (NP (NNP DenComp))            (VP (VBD had)              (NP                (NP (JJR higher) (NNS ratings))                (PP (IN of)                  (NP (NN experience))))              (SBAR                (WHADVP (WRB when))                (S                  (VP (VBN represented)                    (PP (IN by)                      (NP                        (NP                          (NP (NN theCEO)                            (PRN (-LRB- -LRB-)                              (S                                (NP (NN M))                                (VP (SYM =)                                  (NP (CD 4.11))))                              (, ,)                              (S                                (NP (NN SD))                                (VP (SYM =)                                  (NP (CD 1.80))))                              (-RRB- -RRB-)))                          (PP (IN versus)                            (NP (DT the) (NN headquarters)                              (PRN (-LRB- -LRB-)                                (NP (NN M) (SYM =) (CD 3.58))                                (, ,)))))                        (NFP |)                        (PRN                          (NP (NN SD) (SYM =) (CD 1.83))                          (-RRB- -RRB-))))))))))))    (, ,)    (S      (NP (NN t) (-LRB- -LRB-) (CD 299) (-RRB- -RRB-))      (VP (SYM =)        (NP (CD 2.29))))    (, ,)    (S      (NP (NN p))      (VP (SYM =)        (NP (CD .023))))    (, ,)    (S      (NP (NN d))      (VP (SYM =)        (NP (CD 0.29))))    (. .)))"
10.1016/j.jesp.2017.11.013,0,"Out-group members were described less frequently in terms of their basicmental states (estimated marginal mean = 9.70%) than were in-groupmembers (estimated marginal mean = 27.60%), F (1, 68) = 14.948,p = .000,","(ROOT  (S    (S      (NP        (NML (IN Out) (HYPH -) (NN group))        (NNS members))      (VP (VBD were)        (VP (VBN described)          (ADVP (RBR less))          (ADVP (RB frequently)            (PP (IN in)              (NP                (NP (NNS terms))                (PP (IN of)                  (NP (PRP$ their) (JJ basicmental) (NNS states))))))          (PRN (-LRB- -LRB-)            (S              (NP (VBN estimated) (JJ marginal) (NN mean))              (VP (SYM =)                (NP (CD 9.70) (NN %))))            (-RRB- -RRB-))          (SBAR (IN than)            (S              (VP (VBD were)                (PP (IN in) (HYPH -)                  (NP (NNS groupmembers)))                (PRN (-LRB- -LRB-)                  (S                    (NP (VBN estimated) (JJ marginal) (NN mean))                    (VP (SYM =)                      (NP (CD 27.60) (NN %))))                  (-RRB- -RRB-))))))))    (, ,)    (S      (S        (NP (NN F) (-LRB- -LRB-) (CD 1) (, ,) (CD 68) (-RRB- -RRB-))        (VP (SYM =)          (NP (CD 14.948))))      (, ,)      (S        (NP (NN p))        (VP (SYM =)          (NP (CD .000))          (, ,))))))"
10.1016/j.jesp.2016.11.014,0,"a signiﬁcantinteraction between weighting bias and trait self-control, β = − 0.26(95% CI: − 0.48, − 0.05), t(68) = − 2.46, p = 0.02","(ROOT  (FRAG    (FRAG      (NP        (NP          (NP (DT a) (NN signiﬁcantinteraction))          (PP (IN between)            (NP (NN weighting))))        (NP          (NML (NN bias)            (CC and)            (NN trait))          (NN self) (HYPH -) (NN control)))      (, ,)      (NP (NN β) (SYM =)))    (FRAG      (NP (SYM −) (CD 0.26))      (NP (-LRB- -LRB-)        (NP (CD 95) (NN %))        (NP          (NP (NN CI))          (: :)          (FRAG            (NP (SYM −) (CD 0.48))            (, ,)            (NP (SYM −) (CD 0.05))))        (-RRB- -RRB-))      (, ,)      (S        (S          (NP (NN t) (-LRB- -LRB-) (CD 68) (-RRB- -RRB-))          (VP (SYM =)            (NP              (QP (SYM −) (CD 2.46)))))        (, ,)        (S          (NP (NN p))          (VP (SYM =)            (NP (CD 0.02))))))))"
10.1016/j.jesp.2017.06.015,0,"We submitted the number of dimes participants allocated to their partner to a 2 (religious affiliation) by 2 (group membership: in-group or outgroup) between-subjects ANCOVA controlling for belief in God.  Main effects and the interaction of interest were calculated, followed by post-hoc simple effects tests.",(ROOT  (S    (NP (PRP We))    (VP (VBD submitted)      (NP        (NP (DT the) (NN number))        (PP (IN of)          (NP            (NP (NNS dimes) (NNS participants))            (VP (VBN allocated)              (PP (IN to)                (NP (PRP$ their) (NN partner)))              (PP (IN to)                (NP                  (NP (DT a)                    (NML                      (NML                        (NML (CD 2)                          (PRN (-LRB- -LRB-)                            (NP (JJ religious) (NN affiliation))                            (-RRB- -RRB-)))                        (PP (IN by)                          (NP                            (NP (CD 2))                            (-LRB- -LRB-)                            (NP                              (NP (NN group) (NN membership))                              (: :)                              (PP (IN in) (HYPH -)                                (NP (NN group)                                  (CC or)                                  (NN outgroup))))                            (-RRB- -RRB-))))                      (PP (IN between) (HYPH -)                        (NP (NNS subjects))))                    (NNP ANCOVA))                  (VP (VBG controlling)                    (PP (IN for)                      (NP                        (NP (NN belief))                        (PP (IN in)                          (NP (NNP God)))))))))))))    (. .)))
10.1016/j.jesp.2017.07.008,1,"Republicans took longer than Democratsto initially disavow Obama political conspiracies, B = 183.81, SE = 40.84,t(4.50), p < .001","(ROOT  (S    (S      (S        (NP (NNPS Republicans))        (VP (VBD took)          (SBAR            (S              (NP                (NP (JJR longer))                (PP (IN than)                  (NP (NN Democratsto))))              (ADVP (RB initially))              (VP (VB disavow)                (NP (NNP Obama) (JJ political) (NNS conspiracies)))))))      (, ,)      (S        (NP (NN B))        (VP (SYM =)          (NP (CD 183.81))))      (, ,)      (S        (NP (NNP SE))        (VP (SYM =)          (NP            (NP (CD 40.84))            (, ,)            (NP (NN t)))))      (PRN (-LRB- -LRB-)        (NP (CD 4.50))        (-RRB- -RRB-)))    (, ,)    (S      (NP (NN p))      (VP (SYM <)        (NP (CD .001))))))"
10.1016/j.jesp.2015.11.005,0,"Interestingly however, asignificant interaction between Action and Causality emerged;F(1176) = 4.12, p = .044","(ROOT  (NP    (S      (S        (FRAG          (ADVP (RB Interestingly))          (ADVP (RB however)))        (, ,)        (NP          (NP (JJ asignificant) (NN interaction))          (PP (IN between)            (NP (NNP Action)              (CC and)              (NNP Causality))))        (VP (VBD emerged)))      (: ;)      (S        (S          (NP (NNP F)            (PRN (-LRB- -LRB-)              (NP (CD 1176))              (-RRB- -RRB-)))          (VP (SYM =)            (NP (CD 4.12))))        (, ,)        (S          (NP (NN p))          (VP (SYM =)            (NP (CD .044))))))))"
10.1016/j.jesp.2016.01.014,0,"Among participants in the high causal uncertainty condition, a significantly greater proportion of participants chose to resume if they were interrupted from a more abstract (vs. more concrete) thinking task (M = 78.95% vs. M = 47.83%; B = − 1.41, SE = .70, Wald = 4.04, p = .04, OR = 4.09)","(ROOT  (S    (PP (IN Among)      (NP        (NP (NNS participants))        (PP (IN in)          (NP (DT the) (JJ high) (JJ causal) (NN uncertainty) (NN condition)))))    (, ,)    (NP      (NP (DT a)        (ADJP (RB significantly) (JJR greater))        (NN proportion))      (PP (IN of)        (NP (NNS participants))))    (VP (VBD chose)      (S        (VP (TO to)          (VP (VB resume)            (SBAR (IN if)              (S                (NP (PRP they))                (VP (VBD were)                  (VP (VBN interrupted)                    (PP (IN from)                      (NP                        (NP (DT a)                          (ADJP (RBR more) (JJ abstract)))                        (-LRB- -LRB-)                        (NP                          (NP (FW vs.))                          (ADJP (RBR more) (JJ concrete)))                        (-RRB- -RRB-)))                    (S                      (VP (VBG thinking)                        (NP (NN task)))))))              (PRN (-LRB- -LRB-)                (S                  (NP (NN M))                  (VP (SYM =)                    (NP                      (NP (CD 78.95) (NN %))                      (PP (FW vs.)                        (NP                          (NP (NN M))                          (VP (SYM =)                            (NP (CD 47.83) (NN %))))))))                (: ;)                (S                  (NP (NN B))                  (VP (SYM =)                    (NP                      (QP (SYM −) (CD 1.41)))))                (, ,)                (S                  (NP (NNP SE))                  (VP (SYM =)                    (NP (CD .70))))                (, ,)                (S                  (NP (NNP Wald))                  (VP (SYM =)                    (NP (CD 4.04))))                (, ,)                (S                  (NP (NN p))                  (VP (SYM =)                    (NP (CD .04))))                (, ,)                (S                  (NP (CC OR))                  (VP (SYM =)                    (NP (CD 4.09))))                (-RRB- -RRB-)))))))))"
10.1016/j.jesp.2016.02.008,0,"Boys underperformed relative to girls under threat condition (“reading test” condition), b = − 4.87,t(67) = − 2.63, p = .011","(ROOT  (S    (S      (NP (NNS Boys))      (VP (VBD underperformed)        (ADJP (JJ relative)          (PP (IN to)            (NP (NNS girls))))        (PP (IN under)          (NP            (NP (NN threat) (NN condition))            (-LRB- -LRB-)            (NP              (NML                (S (`` “)                  (VP (VBG reading)                    (NP (NN test)))                  ('' ”)))              (NN condition))            (-RRB- -RRB-)))))    (, ,)    (S      (S        (NP (NN b))        (VP (SYM =)          (NP            (QP (SYM −) (CD 4.87)))))      (, ,)      (S        (S          (NP (NN t) (-LRB- -LRB-) (CD 67) (-RRB- -RRB-))          (VP (SYM =)            (NP              (QP (SYM −) (CD 2.63)))))        (, ,)        (S          (NP (NN p))          (VP (SYM =)            (NP (CD .011))))))))"
10.1016/j.jesp.2015.11.008,0,"Most importantly, there | was a significant certainty × objective ambivalence interaction, B = .04,t(169) = 2.28, p = .02, 95% CI: [.01, .07].","(ROOT  (S    (ADVP (RBS Most) (RB importantly))    (, ,)    (NP (EX there))    (NFP |)    (VP (VBD was)      (NP        (NP          (NP (DT a) (JJ significant) (NN certainty))          (PP (SYM ×)            (NP (NN objective) (NN ambivalence) (NN interaction)              (PRN (, ,)                (S                  (S                    (NP (NN B))                    (VP (SYM =)                      (NP (CD .04))))                  (, ,)                  (S                    (S                      (NP (NN t) (-LRB- -LRB-) (CD 169) (-RRB- -RRB-))                      (VP (SYM =)                        (NP (CD 2.28))))                    (, ,)                    (S                      (NP (NN p))                      (VP (SYM =)                        (NP (CD .02))))))))))        (, ,)        (NP          (NML (CD 95) (NN %))          (NN CI))        (: :))      (PRN (-LRB- [)        (NP (CD .01) (, ,) (CD .07))        (-RRB- ])))    (. .)))"
10.1016/j.jesp.2014.09.010,0,"participants exhibited lower state self-esteem after exposure to direct-gaze anger than after exposure todirect-gaze joy t(51) = 2.66, p = .01, rpb = .35,","(ROOT  (S    (NP (NNS participants))    (VP (VBD exhibited)      (NP        (NP          (NML (JJR lower) (NN state))          (NN self) (HYPH -) (NN esteem))        (PP (IN after)          (NP (NN exposure))))      (PP (IN to)        (NP          (NML (JJ direct) (HYPH -) (NN gaze))          (NN anger)))      (PP (IN than)        (PP (IN after)          (NP (NN exposure))))      (PRN        (S          (S            (NP (NN todirect) (HYPH -) (NN gaze) (NN joy) (NN t)              (PRN (-LRB- -LRB-)                (NP (CD 51))                (-RRB- -RRB-)))            (VP (SYM =)              (NP (CD 2.66))))          (, ,)          (S            (S              (NP (NN p))              (VP (SYM =)                (NP (CD .01))))            (, ,)            (S              (NP (NN rpb))              (VP (SYM =)                (NP (CD .35))))))))    (, ,)))"
