paper_id,important_segment,label,Fold_Id
10.1016/j.jesp.2018.06.002,"Pairwise contrast tests revealed that, as predicted,DenComp had higher ratings of experience when represented by theCEO (M = 4.11, SD = 1.80) versus the headquarters (M = 3.58, | SD = 1.83), t(299) = 2.29, p = .023, d = 0.29.",0,4
10.1016/j.jesp.2017.11.013,"Out-group members were described less frequently in terms of their basicmental states (estimated marginal mean = 9.70%) than were in-groupmembers (estimated marginal mean = 27.60%), F (1, 68) = 14.948,p = .000,",0,8
10.1016/j.jesp.2017.06.015,"We submitted the number of dimes participants allocated to their partner to a 2 (religious affiliation) by 2 (group membership: in-group or outgroup) between-subjects ANCOVA controlling for belief in God.  Main effects and the interaction of interest were calculated, followed by post-hoc simple effects tests.",0,8
10.1016/j.jesp.2017.07.008,"Republicans took longer than Democratsto initially disavow Obama political conspiracies, B = 183.81, SE = 40.84,t(4.50), p < .001",1,5
10.1016/j.jesp.2015.11.005,"Interestingly however, asignificant interaction between Action and Causality emerged;F(1176) = 4.12, p = .044",0,6
10.1016/j.jesp.2015.11.008,"Most importantly, there | was a significant certainty × objective ambivalence interaction, B = .04,t(169) = 2.28, p = .02, 95% CI: [.01, .07].",0,8
10.1016/j.jesp.2014.09.010,"participants exhibited lower state self-esteem after exposure to direct-gaze anger than after exposure todirect-gaze joy t(51) = 2.66, p = .01, rpb = .35,",0,10
10.1016/j.jesp.2015.04.001,"Both interactions were significant but inopposite directions (ideologically-irrelevant: Binteraction = − .39, SE =.18, t = − 2.17, p = .03, [CI] = [− 0.74, − .04]",0,1
10.1016/j.jesp.2014.07.013,"Analyses of participants' attitudes toward emotional expressiveness indicated that money-primed participants reported less favorable attitudes toward expressing emotions (M = 3.89, SD = .99) than neutral-primed participants did (M = 4.43, SD = 1.03; F (1, 92) = 6.87, p = .01, ηp2 =.07).",0,8
10.1016/j.jesp.2011.12.005,"participants fixated the expected schematic cue earlier with increasing rape myth acceptance (RMA), leading to a negative correlation between RMA and total time (in ms) before the first fixation of the bottle of wine, r(24) = −.36, p < .05, one-tailed.",0,1
10.1016/j.jesp.2012.02.002,"when expectations of success werelow (expectations = 1), students in the mental contrasting conditionshowed weaker obstacle–behavior associations effects than those in the irrelevant content control condition, t(90) = 2.45, p = 0.02.",0,9
